Logical Reasoning,Communication Skills,Quantitative Skills,Analytical Skills,High School CGPA,Stream,Stream_Point,AveragePoint,Recommended Course
8,10,2,0,9.3,Commerce,6,6.9,Marketing (B.Com)
6,2,2,10,8.8,Humanities,5,6.266666667,English Literature (B.A)
10,6,6,6,6.02,Science,8,7.466666667,Physics (B.Sc)
8,6,4,4,9.5,Commerce,6,6.833333333,Accounting (B.Com)
8,2,8,4,8.79,Humanities,5,5.533333333,Philosophy (B.A)
6,6,2,10,5.15,Science,8,7.283333333,Biology (B.Sc)
6,2,8,10,5.15,Commerce,6,6.8,International Business (B.Com)
4,8,6,0,7.47,Humanities,5,5.483333333,Sociology (B.A)
0,0,2,6,5.11,Science,8,7.666666667,Computer Engineering (B.Tech)
4,4,10,0,5.26,Commerce,6,6.733333333,Economics (B.Com)
2,0,2,6,5.39,Humanities,5,6.633333333,Political Science (B.A)
0,10,6,2,5.36,Science,8,7.716666667,Electrical Engineering (B.Tech)
6,10,4,8,6.13,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,10,6,10,6.43,Humanities,5,5.583333333,Art History (B.A)
8,10,2,2,7.17,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,8,8,4,8.37,Commerce,6,6.833333333,Finance (B.Com)
4,6,6,4,6.06,Humanities,5,5.516666667,History (B.A)
8,8,4,10,6.04,Science,8,7.35,Psychology (B.Sc)
4,8,6,6,9.03,Commerce,6,6.9,Marketing (B.Com)
6,2,10,6,9.36,Humanities,5,6.266666667,English Literature (B.A)
0,6,10,2,6.89,Science,8,7.466666667,Physics (B.Sc)
8,2,10,8,6.6,Commerce,6,6.833333333,Accounting (B.Com)
2,0,4,10,7.77,Humanities,5,5.533333333,Philosophy (B.A)
0,4,8,0,8.27,Science,8,7.283333333,Biology (B.Sc)
6,6,2,4,5.82,Commerce,6,6.8,International Business (B.Com)
10,4,2,8,9.11,Humanities,5,5.483333333,Sociology (B.A)
4,0,0,8,5.29,Science,8,7.666666667,Computer Engineering (B.Tech)
0,0,2,8,7.72,Commerce,6,6.733333333,Economics (B.Com)
6,8,4,10,7.53,Humanities,5,6.633333333,Political Science (B.A)
4,2,0,0,8.18,Science,8,7.716666667,Electrical Engineering (B.Tech)
10,2,10,8,8,Commerce,6,6.866666667,Human Resource Management (B.Com)
10,0,10,2,6.37,Humanities,5,5.583333333,Art History (B.A)
8,2,6,0,5.88,Science,8,7.483333333,Chemical Engineering (B.Tech)
8,8,2,10,6.16,Commerce,6,6.833333333,Finance (B.Com)
0,4,6,4,5.51,Humanities,5,5.516666667,History (B.A)
10,8,2,6,9.95,Science,8,7.35,Psychology (B.Sc)
4,6,10,10,7.85,Commerce,6,6.9,Marketing (B.Com)
6,10,10,0,5.9,Humanities,5,6.266666667,English Literature (B.A)
2,4,0,4,8.16,Science,8,7.466666667,Physics (B.Sc)
2,10,8,2,5.81,Commerce,6,6.833333333,Accounting (B.Com)
2,0,8,2,9.46,Humanities,5,5.533333333,Philosophy (B.A)
8,10,2,2,9.05,Science,8,7.283333333,Biology (B.Sc)
4,10,10,10,6.87,Commerce,6,6.8,International Business (B.Com)
6,0,10,2,5.12,Humanities,5,5.483333333,Sociology (B.A)
10,10,10,10,7.42,Science,8,7.666666667,Computer Engineering (B.Tech)
8,4,10,2,6.45,Commerce,6,6.733333333,Economics (B.Com)
2,10,4,8,7.39,Humanities,5,6.633333333,Political Science (B.A)
4,0,4,2,9.91,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,2,8,6,5.88,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,10,8,6,8.86,Humanities,5,5.583333333,Art History (B.A)
2,0,4,8,6.37,Science,8,7.483333333,Chemical Engineering (B.Tech)
6,0,10,6,6.62,Commerce,6,6.833333333,Finance (B.Com)
6,8,8,6,8.73,Humanities,5,5.516666667,History (B.A)
10,8,4,10,6.56,Science,8,7.35,Psychology (B.Sc)
6,10,4,0,7.31,Commerce,6,6.9,Marketing (B.Com)
2,2,0,2,7.32,Humanities,5,6.266666667,English Literature (B.A)
6,6,2,0,8.17,Science,8,7.466666667,Physics (B.Sc)
2,6,6,10,6.35,Commerce,6,6.833333333,Accounting (B.Com)
4,10,10,10,6.45,Humanities,5,5.533333333,Philosophy (B.A)
2,6,2,8,9.63,Science,8,7.283333333,Biology (B.Sc)
2,8,8,6,5.97,Commerce,6,6.8,International Business (B.Com)
8,2,10,0,5.21,Humanities,5,5.483333333,Sociology (B.A)
4,0,6,4,7.76,Science,8,7.666666667,Computer Engineering (B.Tech)
2,2,4,8,7.37,Commerce,6,6.733333333,Economics (B.Com)
8,2,8,8,9.16,Humanities,5,6.633333333,Political Science (B.A)
10,4,0,8,8.44,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,6,10,0,6.86,Commerce,6,6.866666667,Human Resource Management (B.Com)
10,8,4,6,5.72,Humanities,5,5.583333333,Art History (B.A)
2,0,2,4,8.47,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,2,2,0,8.22,Commerce,6,6.833333333,Finance (B.Com)
0,10,2,2,5.96,Humanities,5,5.516666667,History (B.A)
8,6,8,10,6.18,Science,8,7.35,Psychology (B.Sc)
0,2,2,8,9.5,Commerce,6,6.9,Marketing (B.Com)
8,8,8,4,7.48,Humanities,5,6.266666667,English Literature (B.A)
0,8,2,8,7.86,Science,8,7.466666667,Physics (B.Sc)
0,8,8,4,9.18,Commerce,6,6.833333333,Accounting (B.Com)
4,6,8,8,5.58,Humanities,5,5.533333333,Philosophy (B.A)
2,6,2,6,7.03,Science,8,7.283333333,Biology (B.Sc)
6,2,6,8,8.31,Commerce,6,6.8,International Business (B.Com)
0,10,8,2,9.14,Humanities,5,5.483333333,Sociology (B.A)
6,0,10,6,6.67,Science,8,7.666666667,Computer Engineering (B.Tech)
8,0,4,10,7.72,Commerce,6,6.733333333,Economics (B.Com)
10,4,6,10,6.56,Humanities,5,6.633333333,Political Science (B.A)
10,0,0,2,8.74,Science,8,7.716666667,Electrical Engineering (B.Tech)
6,6,6,0,8.15,Commerce,6,6.866666667,Human Resource Management (B.Com)
10,4,2,2,7.42,Humanities,5,5.583333333,Art History (B.A)
8,2,2,10,9.56,Science,8,7.483333333,Chemical Engineering (B.Tech)
4,6,0,6,8.19,Commerce,6,6.833333333,Finance (B.Com)
2,10,8,2,8.18,Humanities,5,5.516666667,History (B.A)
10,4,6,2,9.67,Science,8,7.35,Psychology (B.Sc)
4,10,2,0,6.44,Commerce,6,6.9,Marketing (B.Com)
8,2,10,0,6.75,Humanities,5,6.266666667,English Literature (B.A)
4,4,0,8,5.88,Science,8,7.466666667,Physics (B.Sc)
10,10,2,4,9.62,Commerce,6,6.833333333,Accounting (B.Com)
10,2,8,8,7.27,Humanities,5,5.533333333,Philosophy (B.A)
4,10,4,2,9.94,Science,8,7.283333333,Biology (B.Sc)
0,4,2,2,9.48,Commerce,6,6.8,International Business (B.Com)
8,4,0,10,7.88,Humanities,5,5.483333333,Sociology (B.A)
2,10,0,10,6.86,Science,8,7.666666667,Computer Engineering (B.Tech)
8,2,2,10,9.51,Commerce,6,6.733333333,Economics (B.Com)
10,0,2,8,6.62,Humanities,5,6.633333333,Political Science (B.A)
2,6,6,10,9.37,Science,8,7.716666667,Electrical Engineering (B.Tech)
10,6,2,4,9.13,Commerce,6,6.866666667,Human Resource Management (B.Com)
8,4,0,0,9.93,Humanities,5,5.583333333,Art History (B.A)
8,0,2,10,6.06,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,8,4,4,6.72,Commerce,6,6.833333333,Finance (B.Com)
8,2,8,4,7.64,Humanities,5,5.516666667,History (B.A)
8,2,4,4,7.35,Science,8,7.35,Psychology (B.Sc)
8,2,0,6,9.45,Commerce,6,6.9,Marketing (B.Com)
2,4,0,2,7.5,Humanities,5,6.266666667,English Literature (B.A)
4,10,4,8,6.05,Science,8,7.466666667,Physics (B.Sc)
4,8,0,6,6.52,Commerce,6,6.833333333,Accounting (B.Com)
10,2,6,2,9.86,Humanities,5,5.533333333,Philosophy (B.A)
6,8,0,6,5.5,Science,8,7.283333333,Biology (B.Sc)
4,4,6,4,9.54,Commerce,6,6.8,International Business (B.Com)
2,8,6,8,5.72,Humanities,5,5.483333333,Sociology (B.A)
2,10,10,8,6.54,Science,8,7.666666667,Computer Engineering (B.Tech)
2,2,6,2,6.37,Commerce,6,6.733333333,Economics (B.Com)
10,8,0,10,9.18,Humanities,5,6.633333333,Political Science (B.A)
0,0,8,6,8.09,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,4,2,2,5.83,Commerce,6,6.866666667,Human Resource Management (B.Com)
0,10,4,0,8.26,Humanities,5,5.583333333,Art History (B.A)
10,0,2,6,8.81,Science,8,7.483333333,Chemical Engineering (B.Tech)
4,0,0,6,6.26,Commerce,6,6.833333333,Finance (B.Com)
6,6,8,0,9.58,Humanities,5,5.516666667,History (B.A)
10,6,2,10,5.24,Science,8,7.35,Psychology (B.Sc)
8,6,0,0,5.44,Commerce,6,6.9,Marketing (B.Com)
0,0,6,4,9.79,Humanities,5,6.266666667,English Literature (B.A)
10,8,8,10,8.77,Science,8,7.466666667,Physics (B.Sc)
10,2,4,6,6.18,Commerce,6,6.833333333,Accounting (B.Com)
2,8,8,10,7.65,Humanities,5,5.533333333,Philosophy (B.A)
0,10,8,0,8.2,Science,8,7.283333333,Biology (B.Sc)
10,8,4,4,8.74,Commerce,6,6.8,International Business (B.Com)
2,2,4,2,7.43,Humanities,5,5.483333333,Sociology (B.A)
4,2,8,10,9.36,Science,8,7.666666667,Computer Engineering (B.Tech)
0,2,6,4,6.55,Commerce,6,6.733333333,Economics (B.Com)
10,6,4,8,8.58,Humanities,5,6.633333333,Political Science (B.A)
8,0,6,4,8.25,Science,8,7.716666667,Electrical Engineering (B.Tech)
0,4,2,4,7.05,Commerce,6,6.866666667,Human Resource Management (B.Com)
6,2,8,2,7.3,Humanities,5,5.583333333,Art History (B.A)
6,2,8,2,5.29,Science,8,7.483333333,Chemical Engineering (B.Tech)
4,8,8,4,9.03,Commerce,6,6.833333333,Finance (B.Com)
10,0,0,8,7.42,Humanities,5,5.516666667,History (B.A)
8,0,6,2,5.11,Science,8,7.35,Psychology (B.Sc)
2,10,4,6,8.38,Commerce,6,6.9,Marketing (B.Com)
0,0,2,6,8.42,Humanities,5,6.266666667,English Literature (B.A)
2,6,0,10,9.79,Science,8,7.466666667,Physics (B.Sc)
2,2,0,4,7.12,Commerce,6,6.833333333,Accounting (B.Com)
2,0,0,4,5.66,Humanities,5,5.533333333,Philosophy (B.A)
4,10,6,8,6.01,Science,8,7.283333333,Biology (B.Sc)
2,4,0,0,9.55,Commerce,6,6.8,International Business (B.Com)
10,4,4,8,7.71,Humanities,5,5.483333333,Sociology (B.A)
0,8,8,2,7.38,Science,8,7.666666667,Computer Engineering (B.Tech)
0,6,8,6,5.08,Commerce,6,6.733333333,Economics (B.Com)
6,0,10,8,7.9,Humanities,5,6.633333333,Political Science (B.A)
0,10,4,2,9.81,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,4,0,0,7.31,Commerce,6,6.866666667,Human Resource Management (B.Com)
6,10,8,4,6.64,Humanities,5,5.583333333,Art History (B.A)
8,8,0,10,6.14,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,6,2,2,9.41,Commerce,6,6.833333333,Finance (B.Com)
8,4,2,4,7.45,Humanities,5,5.516666667,History (B.A)
4,8,0,8,8.15,Science,8,7.35,Psychology (B.Sc)
2,8,6,8,7.61,Commerce,6,6.9,Marketing (B.Com)
6,6,2,2,5.79,Humanities,5,6.266666667,English Literature (B.A)
2,0,0,0,8.41,Science,8,7.466666667,Physics (B.Sc)
0,8,0,0,5.51,Commerce,6,6.833333333,Accounting (B.Com)
0,4,0,2,6.92,Humanities,5,5.533333333,Philosophy (B.A)
8,0,4,6,6.28,Science,8,7.283333333,Biology (B.Sc)
8,10,4,2,8.8,Commerce,6,6.8,International Business (B.Com)
4,4,4,8,6.59,Humanities,5,5.483333333,Sociology (B.A)
4,4,10,0,7.16,Science,8,7.666666667,Computer Engineering (B.Tech)
8,0,2,8,8.02,Commerce,6,6.733333333,Economics (B.Com)
8,6,2,0,7.33,Humanities,5,6.633333333,Political Science (B.A)
6,8,4,8,9.92,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,2,6,4,5.45,Commerce,6,6.866666667,Human Resource Management (B.Com)
8,4,0,8,7.23,Humanities,5,5.583333333,Art History (B.A)
6,6,8,2,6.72,Science,8,7.483333333,Chemical Engineering (B.Tech)
6,2,4,2,8.72,Commerce,6,6.833333333,Finance (B.Com)
0,4,10,8,8.95,Humanities,5,5.516666667,History (B.A)
0,2,0,10,9.34,Science,8,7.35,Psychology (B.Sc)
6,10,4,4,5.87,Commerce,6,6.9,Marketing (B.Com)
10,4,0,6,6.43,Humanities,5,6.266666667,English Literature (B.A)
6,2,0,10,8.72,Science,8,7.466666667,Physics (B.Sc)
4,8,2,8,7.18,Commerce,6,6.833333333,Accounting (B.Com)
6,4,10,0,6.21,Humanities,5,5.533333333,Philosophy (B.A)
8,2,0,8,8.78,Science,8,7.283333333,Biology (B.Sc)
4,8,6,2,6.55,Commerce,6,6.8,International Business (B.Com)
6,10,8,4,8.65,Humanities,5,5.483333333,Sociology (B.A)
4,0,4,10,9.18,Science,8,7.666666667,Computer Engineering (B.Tech)
0,10,8,0,5.7,Commerce,6,6.733333333,Economics (B.Com)
2,4,4,4,6.75,Humanities,5,6.633333333,Political Science (B.A)
2,6,4,4,8.53,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,0,10,8,5.74,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,10,4,6,7.1,Humanities,5,5.583333333,Art History (B.A)
8,8,8,6,5.45,Science,8,7.483333333,Chemical Engineering (B.Tech)
2,2,4,8,7.51,Commerce,6,6.833333333,Finance (B.Com)
0,8,0,6,8.22,Humanities,5,5.516666667,History (B.A)
0,0,4,8,7.74,Science,8,7.35,Psychology (B.Sc)
0,10,0,6,7.55,Commerce,6,6.9,Marketing (B.Com)
8,10,4,10,8.27,Humanities,5,6.266666667,English Literature (B.A)
0,8,10,10,8.62,Science,8,7.466666667,Physics (B.Sc)
10,4,6,2,5.03,Commerce,6,6.833333333,Accounting (B.Com)
4,8,0,2,7.27,Humanities,5,5.533333333,Philosophy (B.A)
8,0,4,0,5.09,Science,8,7.283333333,Biology (B.Sc)
0,10,8,10,9.75,Commerce,6,6.8,International Business (B.Com)
2,10,2,4,6.1,Humanities,5,5.483333333,Sociology (B.A)
0,6,0,2,9.49,Science,8,7.666666667,Computer Engineering (B.Tech)
10,4,2,10,7.31,Commerce,6,6.733333333,Economics (B.Com)
8,2,0,2,5.91,Humanities,5,6.633333333,Political Science (B.A)
10,10,6,10,8.73,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,0,2,4,7.65,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,10,0,0,5.45,Humanities,5,5.583333333,Art History (B.A)
0,8,6,0,6.38,Science,8,7.483333333,Chemical Engineering (B.Tech)
2,10,6,4,9.05,Commerce,6,6.833333333,Finance (B.Com)
0,0,6,6,9.1,Humanities,5,5.516666667,History (B.A)
6,4,0,10,5.98,Science,8,7.35,Psychology (B.Sc)
2,8,10,2,7.44,Commerce,6,6.9,Marketing (B.Com)
10,4,6,2,8.57,Humanities,5,6.266666667,English Literature (B.A)
10,2,10,0,8.6,Science,8,7.466666667,Physics (B.Sc)
8,4,2,8,8.89,Commerce,6,6.833333333,Accounting (B.Com)
10,8,0,0,7.25,Humanities,5,5.533333333,Philosophy (B.A)
10,2,4,6,8.61,Science,8,7.283333333,Biology (B.Sc)
4,4,0,2,7.15,Commerce,6,6.8,International Business (B.Com)
10,10,6,0,8.88,Humanities,5,5.483333333,Sociology (B.A)
0,10,0,10,9.46,Science,8,7.666666667,Computer Engineering (B.Tech)
2,8,2,6,9.75,Commerce,6,6.733333333,Economics (B.Com)
10,4,8,8,7.4,Humanities,5,6.633333333,Political Science (B.A)
10,2,4,10,5.56,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,4,2,0,7.24,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,4,6,4,5.69,Humanities,5,5.583333333,Art History (B.A)
10,10,0,6,6.98,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,0,6,0,7.4,Commerce,6,6.833333333,Finance (B.Com)
10,2,0,0,8.48,Humanities,5,5.516666667,History (B.A)
10,8,0,8,7.99,Science,8,7.35,Psychology (B.Sc)
10,8,2,0,9.59,Commerce,6,6.9,Marketing (B.Com)
8,10,10,4,7.49,Humanities,5,6.266666667,English Literature (B.A)
0,2,10,8,8.41,Science,8,7.466666667,Physics (B.Sc)
4,10,6,4,6.39,Commerce,6,6.833333333,Accounting (B.Com)
10,6,6,8,6.22,Humanities,5,5.533333333,Philosophy (B.A)
6,2,8,4,5.03,Science,8,7.283333333,Biology (B.Sc)
10,8,0,10,9.17,Commerce,6,6.8,International Business (B.Com)
8,6,8,10,5.27,Humanities,5,5.483333333,Sociology (B.A)
6,2,4,6,9.48,Science,8,7.666666667,Computer Engineering (B.Tech)
6,8,4,0,6.34,Commerce,6,6.733333333,Economics (B.Com)
0,6,0,10,8.03,Humanities,5,6.633333333,Political Science (B.A)
2,8,4,6,7.31,Science,8,7.716666667,Electrical Engineering (B.Tech)
0,0,2,2,8.87,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,0,0,4,7.38,Humanities,5,5.583333333,Art History (B.A)
4,0,6,4,8.25,Science,8,7.483333333,Chemical Engineering (B.Tech)
6,0,10,10,5.13,Commerce,6,6.833333333,Finance (B.Com)
0,8,8,2,8.32,Humanities,5,5.516666667,History (B.A)
0,8,4,4,7.97,Science,8,7.35,Psychology (B.Sc)
8,8,10,10,6.29,Commerce,6,6.9,Marketing (B.Com)
0,2,0,0,9.01,Humanities,5,6.266666667,English Literature (B.A)
8,6,2,8,9.07,Science,8,7.466666667,Physics (B.Sc)
6,6,6,8,5.76,Commerce,6,6.833333333,Accounting (B.Com)
6,10,2,2,9.41,Humanities,5,5.533333333,Philosophy (B.A)
10,2,6,6,9.43,Science,8,7.283333333,Biology (B.Sc)
8,4,2,10,5.1,Commerce,6,6.8,International Business (B.Com)
6,10,4,6,9.64,Humanities,5,5.483333333,Sociology (B.A)
0,10,8,4,5.84,Science,8,7.666666667,Computer Engineering (B.Tech)
2,2,4,4,9.69,Commerce,6,6.733333333,Economics (B.Com)
10,2,0,0,6.63,Humanities,5,6.633333333,Political Science (B.A)
2,6,8,8,7.93,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,0,0,6,8.31,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,6,4,10,5.25,Humanities,5,5.583333333,Art History (B.A)
4,2,2,0,5.66,Science,8,7.483333333,Chemical Engineering (B.Tech)
6,6,10,8,8.46,Commerce,6,6.833333333,Finance (B.Com)
8,6,10,4,8.59,Humanities,5,5.516666667,History (B.A)
10,4,8,10,5.66,Science,8,7.35,Psychology (B.Sc)
6,10,0,8,5.78,Commerce,6,6.9,Marketing (B.Com)
2,0,10,2,6.77,Humanities,5,6.266666667,English Literature (B.A)
10,2,4,6,7.18,Science,8,7.466666667,Physics (B.Sc)
10,0,0,0,5.32,Commerce,6,6.833333333,Accounting (B.Com)
2,10,0,0,9.79,Humanities,5,5.533333333,Philosophy (B.A)
8,2,6,2,7.58,Science,8,7.283333333,Biology (B.Sc)
4,4,4,4,9.17,Commerce,6,6.8,International Business (B.Com)
2,2,4,4,5.37,Humanities,5,5.483333333,Sociology (B.A)
8,2,10,10,9.86,Science,8,7.666666667,Computer Engineering (B.Tech)
6,4,10,8,5.89,Commerce,6,6.733333333,Economics (B.Com)
10,8,10,2,6.51,Humanities,5,6.633333333,Political Science (B.A)
0,2,4,8,8.87,Science,8,7.716666667,Electrical Engineering (B.Tech)
0,0,4,8,5.31,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,10,6,8,9.27,Humanities,5,5.583333333,Art History (B.A)
10,0,0,2,5.47,Science,8,7.483333333,Chemical Engineering (B.Tech)
2,6,4,4,5.39,Commerce,6,6.833333333,Finance (B.Com)
10,0,4,2,7.74,Humanities,5,5.516666667,History (B.A)
0,4,10,6,5.28,Science,8,7.35,Psychology (B.Sc)
6,10,2,6,7.91,Commerce,6,6.9,Marketing (B.Com)
2,6,2,4,7.4,Humanities,5,6.266666667,English Literature (B.A)
10,0,6,8,6.74,Science,8,7.466666667,Physics (B.Sc)
4,4,10,8,8.61,Commerce,6,6.833333333,Accounting (B.Com)
8,2,0,4,9.55,Humanities,5,5.533333333,Philosophy (B.A)
8,4,8,4,8.27,Science,8,7.283333333,Biology (B.Sc)
4,0,8,6,8.45,Commerce,6,6.8,International Business (B.Com)
2,0,2,10,7.88,Humanities,5,5.483333333,Sociology (B.A)
4,10,0,6,7.94,Science,8,7.666666667,Computer Engineering (B.Tech)
4,6,4,4,9.69,Commerce,6,6.733333333,Economics (B.Com)
8,8,10,6,9.08,Humanities,5,6.633333333,Political Science (B.A)
6,4,10,8,5.33,Science,8,7.716666667,Electrical Engineering (B.Tech)
6,6,4,4,6.18,Commerce,6,6.866666667,Human Resource Management (B.Com)
6,6,0,8,7.19,Humanities,5,5.583333333,Art History (B.A)
4,2,10,2,5.22,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,2,2,2,7.83,Commerce,6,6.833333333,Finance (B.Com)
2,2,6,6,8.37,Humanities,5,5.516666667,History (B.A)
8,10,2,2,7.01,Science,8,7.35,Psychology (B.Sc)
0,2,10,0,6.07,Commerce,6,6.9,Marketing (B.Com)
0,0,8,8,7,Humanities,5,6.266666667,English Literature (B.A)
10,10,8,0,7.83,Science,8,7.466666667,Physics (B.Sc)
2,2,10,4,9.26,Commerce,6,6.833333333,Accounting (B.Com)
10,2,8,4,9.84,Humanities,5,5.533333333,Philosophy (B.A)
10,4,6,10,7.17,Science,8,7.283333333,Biology (B.Sc)
6,0,2,8,8.83,Commerce,6,6.8,International Business (B.Com)
10,6,8,0,5.48,Humanities,5,5.483333333,Sociology (B.A)
0,8,8,4,7.27,Science,8,7.666666667,Computer Engineering (B.Tech)
4,6,8,8,6.34,Commerce,6,6.733333333,Economics (B.Com)
6,10,0,2,9.79,Humanities,5,6.633333333,Political Science (B.A)
2,6,6,2,8.33,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,8,0,4,7.35,Commerce,6,6.866666667,Human Resource Management (B.Com)
0,2,0,8,7.94,Humanities,5,5.583333333,Art History (B.A)
4,4,4,2,8.4,Science,8,7.483333333,Chemical Engineering (B.Tech)
2,8,10,6,8.03,Commerce,6,6.833333333,Finance (B.Com)
6,6,2,10,6.38,Humanities,5,5.516666667,History (B.A)
10,8,10,2,9.73,Science,8,7.35,Psychology (B.Sc)
8,8,6,10,9.66,Commerce,6,6.9,Marketing (B.Com)
2,6,6,0,9.64,Humanities,5,6.266666667,English Literature (B.A)
0,8,6,2,9.47,Science,8,7.466666667,Physics (B.Sc)
4,6,6,4,9.66,Commerce,6,6.833333333,Accounting (B.Com)
4,2,10,8,5.47,Humanities,5,5.533333333,Philosophy (B.A)
8,6,2,0,8.25,Science,8,7.283333333,Biology (B.Sc)
0,4,0,10,9.19,Commerce,6,6.8,International Business (B.Com)
0,4,4,2,9.56,Humanities,5,5.483333333,Sociology (B.A)
8,6,6,8,6.65,Science,8,7.666666667,Computer Engineering (B.Tech)
8,0,6,4,8.82,Commerce,6,6.733333333,Economics (B.Com)
10,0,10,10,6.25,Humanities,5,6.633333333,Political Science (B.A)
4,0,6,8,7.34,Science,8,7.716666667,Electrical Engineering (B.Tech)
6,4,0,4,8.03,Commerce,6,6.866666667,Human Resource Management (B.Com)
8,2,2,10,6,Humanities,5,5.583333333,Art History (B.A)
4,0,8,8,7.96,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,8,10,6,8.97,Commerce,6,6.833333333,Finance (B.Com)
6,2,0,4,9.91,Humanities,5,5.516666667,History (B.A)
10,2,4,2,8.61,Science,8,7.35,Psychology (B.Sc)
10,6,2,2,6.45,Commerce,6,6.9,Marketing (B.Com)
10,6,6,4,8.87,Humanities,5,6.266666667,English Literature (B.A)
4,6,2,8,9.13,Science,8,7.466666667,Physics (B.Sc)
0,2,2,0,6.87,Commerce,6,6.833333333,Accounting (B.Com)
10,2,0,4,7.54,Humanities,5,5.533333333,Philosophy (B.A)
8,2,0,10,9.66,Science,8,7.283333333,Biology (B.Sc)
8,2,6,8,5.94,Commerce,6,6.8,International Business (B.Com)
