Logical Reasoning,Communication Skills,Quantitative Skills,Analytical Skills,English,Maths,Physics,Biology,Chemistry,Accounting,Economics,Business Studies,History,Sociology,Politics,High School CGPA,Stream,Stream_Point,AveragePoint,Recommended Course
6,0,0,2,27,32,182,111,168,0,0,0,0,0,0,8.81,Science,8,7.35,Psychology (B.Sc)
8,10,2,0,149,122,0,0,0,7,20,73,0,0,0,9.3,Commerce,6,6.9,Marketing (B.Com)
6,2,2,10,128,113,0,0,0,0,0,0,75,127,170,8.8,Humanities,5,6.266666667,English Literature (B.A)
10,6,6,6,200,76,40,27,1,0,0,0,0,0,0,6.02,Science,8,7.466666667,Physics (B.Sc)
8,6,4,4,1,136,0,0,0,121,189,84,0,0,0,9.5,Commerce,6,6.833333333,Accounting (B.Com)
8,2,8,4,52,92,0,0,0,0,0,0,35,113,123,8.79,Humanities,5,5.533333333,Philosophy (B.A)
6,6,2,10,184,177,82,200,190,0,0,0,0,0,0,5.15,Science,8,7.283333333,Biology (B.Sc)
6,2,8,10,44,94,0,0,0,53,63,190,0,0,0,5.15,Commerce,6,6.8,International Business (B.Com)
4,8,6,0,8,152,0,0,0,0,0,0,82,114,83,7.47,Humanities,5,5.483333333,Sociology (B.A)
0,0,2,6,182,129,95,39,113,0,0,0,0,0,0,5.11,Science,8,7.666666667,Computer Engineering (B.Tech)
4,4,10,0,168,155,0,0,0,55,9,79,0,0,0,5.26,Commerce,6,6.733333333,Economics (B.Com)
2,0,2,6,76,181,0,0,0,0,0,0,149,159,88,5.39,Humanities,5,6.633333333,Political Science (B.A)
0,10,6,2,120,109,116,17,85,0,0,0,0,0,0,5.36,Science,8,7.716666667,Electrical Engineering (B.Tech)
6,10,4,8,88,79,0,0,0,10,144,50,0,0,0,6.13,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,10,6,10,44,54,0,0,0,0,0,0,97,77,108,6.43,Humanities,5,5.583333333,Art History (B.A)
8,10,2,2,33,5,100,48,100,0,0,0,0,0,0,7.17,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,8,8,4,131,170,0,0,0,164,136,59,0,0,0,8.37,Commerce,6,6.833333333,Finance (B.Com)
4,6,6,4,38,148,0,0,0,0,0,0,188,28,51,6.06,Humanities,5,5.516666667,History (B.A)
8,8,4,10,16,33,110,62,61,0,0,0,0,0,0,6.04,Science,8,7.35,Psychology (B.Sc)
4,8,6,6,73,147,0,0,0,36,14,51,0,0,0,9.03,Commerce,6,6.9,Marketing (B.Com)
6,2,10,6,117,100,0,0,0,0,0,0,196,85,99,9.36,Humanities,5,6.266666667,English Literature (B.A)
0,6,10,2,66,85,10,62,186,0,0,0,0,0,0,6.89,Science,8,7.466666667,Physics (B.Sc)
8,2,10,8,72,74,0,0,0,145,62,99,0,0,0,6.6,Commerce,6,6.833333333,Accounting (B.Com)
2,0,4,10,92,20,0,0,0,0,0,0,110,123,41,7.77,Humanities,5,5.533333333,Philosophy (B.A)
0,4,8,0,150,117,151,195,39,0,0,0,0,0,0,8.27,Science,8,7.283333333,Biology (B.Sc)
6,6,2,4,70,44,0,0,0,83,173,42,0,0,0,5.82,Commerce,6,6.8,International Business (B.Com)
10,4,2,8,68,0,0,0,0,0,0,0,157,158,168,9.11,Humanities,5,5.483333333,Sociology (B.A)
4,0,0,8,51,162,144,127,125,0,0,0,0,0,0,5.29,Science,8,7.666666667,Computer Engineering (B.Tech)
0,0,2,8,165,50,0,0,0,186,188,39,0,0,0,7.72,Commerce,6,6.733333333,Economics (B.Com)
6,8,4,10,48,13,0,0,0,0,0,0,181,6,125,7.53,Humanities,5,6.633333333,Political Science (B.A)
4,2,0,0,68,167,188,7,92,0,0,0,0,0,0,8.18,Science,8,7.716666667,Electrical Engineering (B.Tech)
10,2,10,8,124,34,0,0,0,67,94,137,0,0,0,8,Commerce,6,6.866666667,Human Resource Management (B.Com)
10,0,10,2,153,105,0,0,0,0,0,0,71,3,193,6.37,Humanities,5,5.583333333,Art History (B.A)
8,2,6,0,71,35,90,161,169,0,0,0,0,0,0,5.88,Science,8,7.483333333,Chemical Engineering (B.Tech)
8,8,2,10,134,146,0,0,0,24,57,37,0,0,0,6.16,Commerce,6,6.833333333,Finance (B.Com)
0,4,6,4,47,9,0,0,0,0,0,0,192,110,106,5.51,Humanities,5,5.516666667,History (B.A)
10,8,2,6,177,190,122,32,88,0,0,0,0,0,0,9.95,Science,8,7.35,Psychology (B.Sc)
4,6,10,10,140,125,0,0,0,84,66,13,0,0,0,7.85,Commerce,6,6.9,Marketing (B.Com)
6,10,10,0,77,134,0,0,0,0,0,0,91,64,103,5.9,Humanities,5,6.266666667,English Literature (B.A)
2,4,0,4,162,160,10,142,181,0,0,0,0,0,0,8.16,Science,8,7.466666667,Physics (B.Sc)
2,10,8,2,46,193,0,0,0,111,164,152,0,0,0,5.81,Commerce,6,6.833333333,Accounting (B.Com)
2,0,8,2,126,91,0,0,0,0,0,0,79,115,53,9.46,Humanities,5,5.533333333,Philosophy (B.A)
8,10,2,2,20,99,26,33,171,0,0,0,0,0,0,9.05,Science,8,7.283333333,Biology (B.Sc)
4,10,10,10,172,137,0,0,0,73,107,189,0,0,0,6.87,Commerce,6,6.8,International Business (B.Com)
6,0,10,2,18,200,0,0,0,0,0,0,184,72,181,5.12,Humanities,5,5.483333333,Sociology (B.A)
10,10,10,10,22,60,116,182,143,0,0,0,0,0,0,7.42,Science,8,7.666666667,Computer Engineering (B.Tech)
8,4,10,2,173,34,0,0,0,180,180,159,0,0,0,6.45,Commerce,6,6.733333333,Economics (B.Com)
2,10,4,8,77,130,0,0,0,0,0,0,197,119,151,7.39,Humanities,5,6.633333333,Political Science (B.A)
4,0,4,2,3,124,147,6,103,0,0,0,0,0,0,9.91,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,2,8,6,86,181,0,0,0,39,92,154,0,0,0,5.88,Commerce,6,6.866666667,Human Resource Management (B.Com)
2,10,8,6,126,163,0,0,0,0,0,0,96,180,65,8.86,Humanities,5,5.583333333,Art History (B.A)
2,0,4,8,16,32,58,159,155,0,0,0,0,0,0,6.37,Science,8,7.483333333,Chemical Engineering (B.Tech)
6,0,10,6,30,144,0,0,0,198,91,70,0,0,0,6.62,Commerce,6,6.833333333,Finance (B.Com)
6,8,8,6,70,185,0,0,0,0,0,0,14,191,171,8.73,Humanities,5,5.516666667,History (B.A)
10,8,4,10,101,183,169,171,82,0,0,0,0,0,0,6.56,Science,8,7.35,Psychology (B.Sc)
6,10,4,0,119,178,0,0,0,140,102,32,0,0,0,7.31,Commerce,6,6.9,Marketing (B.Com)
2,2,0,2,143,30,0,0,0,0,0,0,80,183,61,7.32,Humanities,5,6.266666667,English Literature (B.A)
6,6,2,0,154,54,131,67,57,0,0,0,0,0,0,8.17,Science,8,7.466666667,Physics (B.Sc)
2,6,6,10,120,158,0,0,0,8,120,48,0,0,0,6.35,Commerce,6,6.833333333,Accounting (B.Com)
4,10,10,10,47,195,0,0,0,0,0,0,1,175,134,6.45,Humanities,5,5.533333333,Philosophy (B.A)
2,6,2,8,79,101,192,28,197,0,0,0,0,0,0,9.63,Science,8,7.283333333,Biology (B.Sc)
2,8,8,6,155,4,0,0,0,159,8,71,0,0,0,5.97,Commerce,6,6.8,International Business (B.Com)
8,2,10,0,39,200,0,0,0,0,0,0,159,70,165,5.21,Humanities,5,5.483333333,Sociology (B.A)
4,0,6,4,14,135,55,24,67,0,0,0,0,0,0,7.76,Science,8,7.666666667,Computer Engineering (B.Tech)
2,2,4,8,12,146,0,0,0,175,134,166,0,0,0,7.37,Commerce,6,6.733333333,Economics (B.Com)
8,2,8,8,12,50,0,0,0,0,0,0,50,61,66,9.16,Humanities,5,6.633333333,Political Science (B.A)
10,4,0,8,198,65,192,62,152,0,0,0,0,0,0,8.44,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,6,10,0,150,144,0,0,0,99,191,78,0,0,0,6.86,Commerce,6,6.866666667,Human Resource Management (B.Com)
10,8,4,6,0,68,0,0,0,0,0,0,151,24,129,5.72,Humanities,5,5.583333333,Art History (B.A)
2,0,2,4,60,140,22,122,126,0,0,0,0,0,0,8.47,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,2,2,0,112,123,0,0,0,110,81,21,0,0,0,8.22,Commerce,6,6.833333333,Finance (B.Com)
0,10,2,2,166,166,0,0,0,0,0,0,184,94,91,5.96,Humanities,5,5.516666667,History (B.A)
8,6,8,10,163,164,85,99,194,0,0,0,0,0,0,6.18,Science,8,7.35,Psychology (B.Sc)
0,2,2,8,182,83,0,0,0,81,53,11,0,0,0,9.5,Commerce,6,6.9,Marketing (B.Com)
8,8,8,4,89,61,0,0,0,0,0,0,154,195,43,7.48,Humanities,5,6.266666667,English Literature (B.A)
0,8,2,8,41,66,151,69,113,0,0,0,0,0,0,7.86,Science,8,7.466666667,Physics (B.Sc)
0,8,8,4,128,38,0,0,0,64,70,36,0,0,0,9.18,Commerce,6,6.833333333,Accounting (B.Com)
4,6,8,8,155,186,0,0,0,0,0,0,103,176,133,5.58,Humanities,5,5.533333333,Philosophy (B.A)
2,6,2,6,137,10,68,37,4,0,0,0,0,0,0,7.03,Science,8,7.283333333,Biology (B.Sc)
6,2,6,8,13,173,0,0,0,151,85,133,0,0,0,8.31,Commerce,6,6.8,International Business (B.Com)
0,10,8,2,44,158,0,0,0,0,0,0,11,156,28,9.14,Humanities,5,5.483333333,Sociology (B.A)
6,0,10,6,194,24,184,147,11,0,0,0,0,0,0,6.67,Science,8,7.666666667,Computer Engineering (B.Tech)
8,0,4,10,136,66,0,0,0,115,17,199,0,0,0,7.72,Commerce,6,6.733333333,Economics (B.Com)
10,4,6,10,101,199,0,0,0,0,0,0,180,45,98,6.56,Humanities,5,6.633333333,Political Science (B.A)
10,0,0,2,172,185,183,85,82,0,0,0,0,0,0,8.74,Science,8,7.716666667,Electrical Engineering (B.Tech)
6,6,6,0,18,0,0,0,0,91,45,178,0,0,0,8.15,Commerce,6,6.866666667,Human Resource Management (B.Com)
10,4,2,2,58,135,0,0,0,0,0,0,14,123,134,7.42,Humanities,5,5.583333333,Art History (B.A)
8,2,2,10,86,183,78,181,113,0,0,0,0,0,0,9.56,Science,8,7.483333333,Chemical Engineering (B.Tech)
4,6,0,6,68,199,0,0,0,64,105,33,0,0,0,8.19,Commerce,6,6.833333333,Finance (B.Com)
2,10,8,2,88,114,0,0,0,0,0,0,184,145,115,8.18,Humanities,5,5.516666667,History (B.A)
10,4,6,2,35,40,98,129,177,0,0,0,0,0,0,9.67,Science,8,7.35,Psychology (B.Sc)
4,10,2,0,118,58,0,0,0,63,167,99,0,0,0,6.44,Commerce,6,6.9,Marketing (B.Com)
8,2,10,0,50,135,0,0,0,0,0,0,150,126,137,6.75,Humanities,5,6.266666667,English Literature (B.A)
4,4,0,8,54,125,21,16,69,0,0,0,0,0,0,5.88,Science,8,7.466666667,Physics (B.Sc)
10,10,2,4,155,154,0,0,0,111,70,165,0,0,0,9.62,Commerce,6,6.833333333,Accounting (B.Com)
10,2,8,8,179,70,0,0,0,0,0,0,125,176,62,7.27,Humanities,5,5.533333333,Philosophy (B.A)
4,10,4,2,156,142,177,145,156,0,0,0,0,0,0,9.94,Science,8,7.283333333,Biology (B.Sc)
0,4,2,2,73,175,0,0,0,168,1,85,0,0,0,9.48,Commerce,6,6.8,International Business (B.Com)
8,4,0,10,125,141,0,0,0,0,0,0,8,38,63,7.88,Humanities,5,5.483333333,Sociology (B.A)
2,10,0,10,119,99,161,100,129,0,0,0,0,0,0,6.86,Science,8,7.666666667,Computer Engineering (B.Tech)
8,2,2,10,42,27,0,0,0,67,129,30,0,0,0,9.51,Commerce,6,6.733333333,Economics (B.Com)
10,0,2,8,16,156,0,0,0,0,0,0,197,85,131,6.62,Humanities,5,6.633333333,Political Science (B.A)
2,6,6,10,119,164,115,43,46,0,0,0,0,0,0,9.37,Science,8,7.716666667,Electrical Engineering (B.Tech)
10,6,2,4,120,38,0,0,0,122,58,156,0,0,0,9.13,Commerce,6,6.866666667,Human Resource Management (B.Com)
8,4,0,0,13,87,0,0,0,0,0,0,62,106,86,9.93,Humanities,5,5.583333333,Art History (B.A)
8,0,2,10,9,26,181,97,183,0,0,0,0,0,0,6.06,Science,8,7.483333333,Chemical Engineering (B.Tech)
0,8,4,4,86,37,0,0,0,33,124,132,0,0,0,6.72,Commerce,6,6.833333333,Finance (B.Com)
8,2,8,4,36,123,0,0,0,0,0,0,33,189,66,7.64,Humanities,5,5.516666667,History (B.A)
8,2,4,4,71,92,153,195,144,0,0,0,0,0,0,7.35,Science,8,7.35,Psychology (B.Sc)
8,2,0,6,5,168,0,0,0,131,16,117,0,0,0,9.45,Commerce,6,6.9,Marketing (B.Com)
2,4,0,2,47,114,0,0,0,0,0,0,18,168,184,7.5,Humanities,5,6.266666667,English Literature (B.A)
4,10,4,8,143,0,98,2,17,0,0,0,0,0,0,6.05,Science,8,7.466666667,Physics (B.Sc)
4,8,0,6,41,37,0,0,0,178,115,14,0,0,0,6.52,Commerce,6,6.833333333,Accounting (B.Com)
10,2,6,2,195,73,0,0,0,0,0,0,117,103,60,9.86,Humanities,5,5.533333333,Philosophy (B.A)
6,8,0,6,82,195,193,160,124,0,0,0,0,0,0,5.5,Science,8,7.283333333,Biology (B.Sc)
4,4,6,4,196,76,0,0,0,37,96,150,0,0,0,9.54,Commerce,6,6.8,International Business (B.Com)
2,8,6,8,17,15,0,0,0,0,0,0,43,68,110,5.72,Humanities,5,5.483333333,Sociology (B.A)
2,10,10,8,85,79,152,156,28,0,0,0,0,0,0,6.54,Science,8,7.666666667,Computer Engineering (B.Tech)
2,2,6,2,183,46,0,0,0,185,177,103,0,0,0,6.37,Commerce,6,6.733333333,Economics (B.Com)
10,8,0,10,141,66,0,0,0,0,0,0,76,90,66,9.18,Humanities,5,6.633333333,Political Science (B.A)
0,0,8,6,113,76,45,72,171,0,0,0,0,0,0,8.09,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,4,2,2,21,128,0,0,0,148,83,92,0,0,0,5.83,Commerce,6,6.866666667,Human Resource Management (B.Com)
0,10,4,0,148,0,0,0,0,0,0,0,168,63,37,8.26,Humanities,5,5.583333333,Art History (B.A)
10,0,2,6,112,94,171,15,12,0,0,0,0,0,0,8.81,Science,8,7.483333333,Chemical Engineering (B.Tech)
4,0,0,6,110,19,0,0,0,81,59,109,0,0,0,6.26,Commerce,6,6.833333333,Finance (B.Com)
6,6,8,0,118,181,0,0,0,0,0,0,17,163,20,9.58,Humanities,5,5.516666667,History (B.A)
10,6,2,10,194,169,24,187,175,0,0,0,0,0,0,5.24,Science,8,7.35,Psychology (B.Sc)
8,6,0,0,57,20,0,0,0,81,38,49,0,0,0,5.44,Commerce,6,6.9,Marketing (B.Com)
0,0,6,4,115,154,0,0,0,0,0,0,1,172,49,9.79,Humanities,5,6.266666667,English Literature (B.A)
10,8,8,10,140,180,129,69,115,0,0,0,0,0,0,8.77,Science,8,7.466666667,Physics (B.Sc)
10,2,4,6,34,11,0,0,0,47,76,141,0,0,0,6.18,Commerce,6,6.833333333,Accounting (B.Com)
2,8,8,10,109,195,0,0,0,0,0,0,23,4,197,7.65,Humanities,5,5.533333333,Philosophy (B.A)
0,10,8,0,179,154,116,20,119,0,0,0,0,0,0,8.2,Science,8,7.283333333,Biology (B.Sc)
10,8,4,4,51,37,0,0,0,124,127,192,0,0,0,8.74,Commerce,6,6.8,International Business (B.Com)
2,2,4,2,4,47,0,0,0,0,0,0,15,168,170,7.43,Humanities,5,5.483333333,Sociology (B.A)
4,2,8,10,74,94,48,186,77,0,0,0,0,0,0,9.36,Science,8,7.666666667,Computer Engineering (B.Tech)
0,2,6,4,197,171,0,0,0,90,197,145,0,0,0,6.55,Commerce,6,6.733333333,Economics (B.Com)
10,6,4,8,130,169,0,0,0,0,0,0,169,124,33,8.58,Humanities,5,6.633333333,Political Science (B.A)
8,0,6,4,192,148,64,69,37,0,0,0,0,0,0,8.25,Science,8,7.716666667,Electrical Engineering (B.Tech)
0,4,2,4,100,155,0,0,0,102,57,154,0,0,0,7.05,Commerce,6,6.866666667,Human Resource Management (B.Com)
6,2,8,2,59,35,0,0,0,0,0,0,14,185,140,7.3,Humanities,5,5.583333333,Art History (B.A)
6,2,8,2,22,59,132,117,197,0,0,0,0,0,0,5.29,Science,8,7.483333333,Chemical Engineering (B.Tech)
4,8,8,4,47,28,0,0,0,10,53,37,0,0,0,9.03,Commerce,6,6.833333333,Finance (B.Com)
10,0,0,8,16,48,0,0,0,0,0,0,125,124,86,7.42,Humanities,5,5.516666667,History (B.A)
8,0,6,2,105,140,117,131,39,0,0,0,0,0,0,5.11,Science,8,7.35,Psychology (B.Sc)
2,10,4,6,176,180,0,0,0,130,197,168,0,0,0,8.38,Commerce,6,6.9,Marketing (B.Com)
0,0,2,6,28,108,0,0,0,0,0,0,180,120,117,8.42,Humanities,5,6.266666667,English Literature (B.A)
2,6,0,10,4,48,196,109,72,0,0,0,0,0,0,9.79,Science,8,7.466666667,Physics (B.Sc)
2,2,0,4,60,57,0,0,0,42,149,78,0,0,0,7.12,Commerce,6,6.833333333,Accounting (B.Com)
2,0,0,4,199,154,0,0,0,0,0,0,18,81,156,5.66,Humanities,5,5.533333333,Philosophy (B.A)
4,10,6,8,105,92,178,195,192,0,0,0,0,0,0,6.01,Science,8,7.283333333,Biology (B.Sc)
2,4,0,0,148,43,0,0,0,183,150,24,0,0,0,9.55,Commerce,6,6.8,International Business (B.Com)
10,4,4,8,120,166,0,0,0,0,0,0,70,93,45,7.71,Humanities,5,5.483333333,Sociology (B.A)
0,8,8,2,200,158,16,39,99,0,0,0,0,0,0,7.38,Science,8,7.666666667,Computer Engineering (B.Tech)
0,6,8,6,72,69,0,0,0,128,24,184,0,0,0,5.08,Commerce,6,6.733333333,Economics (B.Com)
6,0,10,8,183,124,0,0,0,0,0,0,28,103,194,7.9,Humanities,5,6.633333333,Political Science (B.A)
0,10,4,2,106,27,56,57,51,0,0,0,0,0,0,9.81,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,4,0,0,187,119,0,0,0,88,117,119,0,0,0,7.31,Commerce,6,6.866666667,Human Resource Management (B.Com)
6,10,8,4,28,46,0,0,0,0,0,0,82,126,151,6.64,Humanities,5,5.583333333,Art History (B.A)
8,8,0,10,92,83,177,190,25,0,0,0,0,0,0,6.14,Science,8,7.483333333,Chemical Engineering (B.Tech)
10,6,2,2,24,159,0,0,0,118,72,2,0,0,0,9.41,Commerce,6,6.833333333,Finance (B.Com)
8,4,2,4,8,94,0,0,0,0,0,0,181,102,165,7.45,Humanities,5,5.516666667,History (B.A)
4,8,0,8,96,84,125,181,80,0,0,0,0,0,0,8.15,Science,8,7.35,Psychology (B.Sc)
2,8,6,8,28,62,0,0,0,135,109,191,0,0,0,7.61,Commerce,6,6.9,Marketing (B.Com)
6,6,2,2,158,83,0,0,0,0,0,0,82,107,99,5.79,Humanities,5,6.266666667,English Literature (B.A)
2,0,0,0,143,57,148,143,144,0,0,0,0,0,0,8.41,Science,8,7.466666667,Physics (B.Sc)
0,8,0,0,49,16,0,0,0,108,57,62,0,0,0,5.51,Commerce,6,6.833333333,Accounting (B.Com)
0,4,0,2,192,43,0,0,0,0,0,0,139,165,38,6.92,Humanities,5,5.533333333,Philosophy (B.A)
8,0,4,6,123,61,4,66,138,0,0,0,0,0,0,6.28,Science,8,7.283333333,Biology (B.Sc)
8,10,4,2,42,27,0,0,0,82,184,113,0,0,0,8.8,Commerce,6,6.8,International Business (B.Com)
4,4,4,8,126,121,0,0,0,0,0,0,57,146,62,6.59,Humanities,5,5.483333333,Sociology (B.A)
4,4,10,0,1,36,178,150,67,0,0,0,0,0,0,7.16,Science,8,7.666666667,Computer Engineering (B.Tech)
8,0,2,8,89,63,0,0,0,135,40,34,0,0,0,8.02,Commerce,6,6.733333333,Economics (B.Com)
8,6,2,0,151,200,0,0,0,0,0,0,35,59,72,7.33,Humanities,5,6.633333333,Political Science (B.A)
6,8,4,8,95,12,122,63,75,0,0,0,0,0,0,9.92,Science,8,7.716666667,Electrical Engineering (B.Tech)
4,2,6,4,157,119,0,0,0,63,49,74,0,0,0,5.45,Commerce,6,6.866666667,Human Resource Management (B.Com)
8,4,0,8,122,195,0,0,0,0,0,0,128,66,83,7.23,Humanities,5,5.583333333,Art History (B.A)
6,6,8,2,169,194,10,152,174,0,0,0,0,0,0,6.72,Science,8,7.483333333,Chemical Engineering (B.Tech)
6,2,4,2,22,164,0,0,0,144,87,92,0,0,0,8.72,Commerce,6,6.833333333,Finance (B.Com)
0,4,10,8,95,131,0,0,0,0,0,0,36,27,83,8.95,Humanities,5,5.516666667,History (B.A)
0,2,0,10,163,149,148,9,77,0,0,0,0,0,0,9.34,Science,8,7.35,Psychology (B.Sc)
6,10,4,4,26,183,0,0,0,125,44,158,0,0,0,5.87,Commerce,6,6.9,Marketing (B.Com)
10,4,0,6,162,77,0,0,0,0,0,0,53,138,17,6.43,Humanities,5,6.266666667,English Literature (B.A)
6,2,0,10,75,61,157,60,151,0,0,0,0,0,0,8.72,Science,8,7.466666667,Physics (B.Sc)
4,8,2,8,181,2,0,0,0,163,6,140,0,0,0,7.18,Commerce,6,6.833333333,Accounting (B.Com)
6,4,10,0,103,25,0,0,0,0,0,0,188,177,96,6.21,Humanities,5,5.533333333,Philosophy (B.A)
8,2,0,8,120,76,91,95,83,0,0,0,0,0,0,8.78,Science,8,7.283333333,Biology (B.Sc)
4,8,6,2,75,28,0,0,0,10,51,142,0,0,0,6.55,Commerce,6,6.8,International Business (B.Com)
6,10,8,4,56,172,0,0,0,0,0,0,175,25,117,8.65,Humanities,5,5.483333333,Sociology (B.A)
4,0,4,10,48,48,49,189,92,0,0,0,0,0,0,9.18,Science,8,7.666666667,Computer Engineering (B.Tech)
0,10,8,0,153,50,0,0,0,58,55,142,0,0,0,5.7,Commerce,6,6.733333333,Economics (B.Com)
2,4,4,4,111,168,0,0,0,0,0,0,157,155,91,6.75,Humanities,5,6.633333333,Political Science (B.A)
2,6,4,4,27,107,79,179,171,0,0,0,0,0,0,8.53,Science,8,7.716666667,Electrical Engineering (B.Tech)
2,0,10,8,133,39,0,0,0,104,172,157,0,0,0,5.74,Commerce,6,6.866666667,Human Resource Management (B.Com)
4,10,4,6,194,27,0,0,0,0,0,0,138,164,184,7.1,Humanities,5,5.583333333,Art History (B.A)
8,8,8,6,77,138,118,81,131,0,0,0,0,0,0,5.45,Science,8,7.483333333,Chemical Engineering (B.Tech)
2,2,4,8,101,38,0,0,0,127,130,113,0,0,0,7.51,Commerce,6,6.833333333,Finance (B.Com)
0,8,0,6,112,69,0,0,0,0,0,0,106,146,14,8.22,Humanities,5,5.516666667,History (B.A)
